ref,genre,songTitle,artistName,lyrics,lyrics_clean
blues.00000.wav,blues,"one bourbon, one scotch, one beer",john lee hooker,"[Chorus]
One bourbon, one scotch and one beer
One bourbon, one scotch and one beer

[Verse 1]
I said hey mister bartender, come here
I want another drink and I want it now
My baby, she gone, she been gone two night
I ain't seen the girl since night before last
Wanna get drunk, get her off my mind
One bourbon, one scotch, one beer

And then I sit there, drinkin, gettin' stoned, yeah yeah
After a while, I looked down the bar, at the bartender
I said Hey!  ""Whadda ya want?""
One bourbon, one scotch, one beer

Well that girl, she gone, gone two night
I haven't seen the girl since night before last
I wanna get drunk, get her off of my mind
One bourbon, one scotch, one beer

And I sat there, gettin stoned, mellow
Feelin so good, so good
I looked down the bar, at the bartender
I said hey hey!  ""Whadda ya want?""
One bourbon, one scotch, one beer

Well that girl, she gone, she gone two night
I haven't seen the girl since night before last
I wanna get drunk, get her off of my mind
One bourbon, one scotch, one beer

Then I sit there, drinkin
After a while, I lose my head
I looked on the wall, at the clock on the wall
By that time, it was quarter to two
Last call for alcohol
I looked down the bar, at the bartender
I said ""Hey, whadda ya want?""
One bourbon, one scotch and one beer

Songwriter:  Rudy Toombs",one bourbon one scotch and one beer one bourbon one scotch and one beer i said hey mister bartender come here i want another drink and i want it now my baby she gone she been gone two night i ain  seen the girl since night before last wanna get drunk get her off my mind one bourbon one scotch one beer and then i sit there drinkin gettin  stoned yeah yeah after a while i looked down the bar at the bartender i said hey whadda ya want one bourbon one scotch one beer well that girl she gone gone two night i haven  seen the girl since night before last i wanna get drunk get her off of my mind one bourbon one scotch one beer and i sat there gettin stoned mellow feelin so good so good i looked down the bar at the bartender i said hey hey whadda ya want one bourbon one scotch one beer well that girl she gone she gone two night i haven  seen the girl since night before last i wanna get drunk get her off of my mind one bourbon one scotch one beer then i sit there drinkin after a while i lose my head i looked on the wall at the clock on the wall by that time it was quarter to two last call for alcohol i looked down the bar at the bartender i said hey whadda ya want one bourbon one scotch and one beer
blues.00001.wav,blues,i'm in the mood,john lee hooker,"[Chorus]
I′m in the mood
I'm in the mood for love

[Verse 1]
Every time I see you, baby
Walking down the street
You know I get a thrill now, baby
From my head down to my toes

[Chorus]
I′m in the mood
I'm in the mood
I'm in the mood for love

[Verse 2]
Nighttime is the right time
To be with the one you love
You know when night come, baby
God knows you′re so far away

[Chorus]
I′m in the mood
I'm in the mood
I′m in the mood for love
I'm in the mood, baby
Yes, I′m in the mood

[Verse 3]
If I can't be with you, baby
I don′t be with nobody else
I can't get my thrill now, baby
Let it not be with you

[Chorus]
I'm in the mood
I′m in the mood
I′m in the mood for love
I'm in the mood, baby
Yes, I′m in the mood

[Verse 4]
Yes, my mama told me
To leave that girl alone
What my mama didn't know
God knows that, girl, we′re goin' down

[Chorus]
I′m in the mood
I'm in the mood
I'm in the mood for love
I′m in the mood, I′m in the mood
Babe, I'm in the mood",i′m in the mood i m in the mood for love every time i see you baby walking down the street you know i get a thrill now baby from my head down to my toes i′m in the mood i m in the mood i m in the mood for love nighttime is the right time to be with the one you love you know when night come baby god knows you′re so far away i′m in the mood i m in the mood i′m in the mood for love i m in the mood baby yes i′m in the mood if i can  be with you baby i don′t be with nobody else i can  get my thrill now baby let it not be with you i m in the mood i′m in the mood i′m in the mood for love i m in the mood baby yes i′m in the mood yes my mama told me to leave that girl alone what my mama didn  know god knows that girl we′re goin  down i′m in the mood i m in the mood i m in the mood for love i′m in the mood i′m in the mood babe i m in the mood
blues.00003.wav,blues,i'm bad like jesse james (live),john lee hooker,"Little thing I'm going to do called, ""I'm Bad Like Jesse James""

I'm bad
I'm bad
Like Jesse James, uh-huh

I had a friend one time
Least I thought I did
He come to me
Said, 'Johnny?'
Said, 'What man?'
'I'm outdoor'
I say, 'Yeah?'

I taken the cat in
Get him a place to stay
And I found out
He goin' 'round town
Tellin' ev'rybody that he
He got my wife

Then I gets mad
I goes to the cat
Like a good guy should
I said, 'Look man
'I'm gonna warn, you just one time'
Next time I warn you'
'I'm gonna use my gun'

'Cause I'm mad, I'm bad, like Jesse James

I'm so mad, I'm so mad
I'm gonna ruin you this mornin'
I've got three boys
Do my dirty work
Now, you don't see me
I'm the big boss
I do the payin' off
After they take care of you

In their own way
They may shoot you
They may cut you
They may drown you
I just don't know
I don't care
Long as they take care of you
In their own way

I'm so mad, I'm bad this mornin', like Jesse James

They gon' take you right down
By the riverside
Now four is goin' down
Ain't but three comin' back
You read between the line
We're gonna have a deal

'Cause I'm mad, I'm bad, like Jesse James

They gonna tie yo' hands
They gonna tie yo' feet
They gonna gag your throat
Where you can't holler none

An cryin' won't help you none
Set you in the water
Yeah, the bubbles comin' up
Whoa
Rrrrrrr
Rrrrrrr

Oh yeah, I'm so mad!",little thing i m going to do called i m bad like jesse james i m bad i m bad like jesse james uhhuh i had a friend one time least i thought i did he come to me said  johnny  said  what man   i m outdoor  i say  yeah  i taken the cat in get him a place to stay and i found out he goin   round town tellin  ev rybody that he he got my wife then i gets mad i goes to the cat like a good guy should i said  look man  i m gonna warn you just one time  next time i warn you   i m gonna use my gun   cause i m mad i m bad like jesse james i m so mad i m so mad i m gonna ruin you this mornin  i ve got three boys do my dirty work now you don  see me i m the big boss i do the payin  off after they take care of you in their own way they may shoot you they may cut you they may drown you i just don  know i don  care long as they take care of you in their own way i m so mad i m bad this mornin  like jesse james they gon  take you right down by the riverside now four is goin  down ain  but three comin  back you read between the line we re gonna have a deal  cause i m mad i m bad like jesse james they gonna tie yo  hands they gonna tie yo  feet they gonna gag your throat where you can  holler none an cryin  won  help you none set you in the water yeah the bubbles comin  up whoa rrrrrrr rrrrrrr oh yeah i m so mad
blues.00004.wav,blues,walkin' the boogie,john lee hooker,"Well my mama she didn't 'low me, just to stay out all night long, oh Lord
Well my mama didn't 'low me, just to stay out all night long
I didn't care what she didn't 'low, I would
Boogie-woogie
Anyhow
When I first came to town people, I was walkin' down Hastings Street

Everybody was talkin' about, the Henry Swing Club
I decided I drop in there that night
When I got there, I say, ""Yes, people""
They was really havin' a ball!
Yes, I know
Boogie Chillun

One night I was layin' down
I heard mama 'n papa talkin'
I heard papa tell mama, let that boy boogie-woogie
It's in him, and it got to come out
And I felt so good
Went on boogie'n just the same",well my mama she didn   low me just to stay out all night long oh lord well my mama didn   low me just to stay out all night long i didn  care what she didn   low i would boogiewoogie anyhow when i first came to town people i was walkin  down hastings street everybody was talkin  about the henry swing club i decided i drop in there that night when i got there i say yes people they was really havin  a ball yes i know boogie chillun one night i was layin  down i heard mama  n papa talkin  i heard papa tell mama let that boy boogiewoogie it s in him and it got to come out and i felt so good went on boogie n just the same
blues.00005.wav,blues,sugar mama,john lee hooker,"Sugar mama, sugar mama, sugar mama please come back to me
Sugar mama, sugar mama, sugar mama please come back to me
Bring me my granulated sugar, sugar mama, sugar mama ease my misery

You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this granulated sugar, sugar mama, ain't nobody else got, but you

They been braggin' 'bout your sugar, sugar mama, been braggin' all over town
They been braggin' 'bout your sugar, sugar mama, braggin' all over town
Everywhere i go sugar mama, sugar mama you can hear your name
Read them crazy about you sugar mama
Because you ease my worried mind
Read them crazy about you sugar mama
Because you ease my worried mind
You got something something sugar mama
Ain't nobody else got but you

Now, the bootleggers want you to sell 'em enough to make whiskey
But you won't sell 'em about four or five pounds

I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
You what i meant about that sugar mama
I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
Don't get my sugar three times a day, oh, Lord
You don't mean you just can't get along right
Then I don't feel right",sugar mama sugar mama sugar mama please come back to me sugar mama sugar mama sugar mama please come back to me bring me my granulated sugar sugar mama sugar mama ease my misery you ve got this new grade of sugar sugar mama an you done made me love it too you ve got this new grade of sugar sugar mama an you done made me love it too you ve got this granulated sugar sugar mama ain  nobody else got but you they been braggin   bout your sugar sugar mama been braggin  all over town they been braggin   bout your sugar sugar mama braggin  all over town everywhere i go sugar mama sugar mama you can hear your name read them crazy about you sugar mama because you ease my worried mind read them crazy about you sugar mama because you ease my worried mind you got something something sugar mama ain  nobody else got but you now the bootleggers want you to sell  em enough to make whiskey but you won  sell  em about four or five pounds i like my coffee sweet early in the mornin  you know an i m crazy  bout my tea at night you what i meant about that sugar mama i like my coffee sweet early in the mornin  you know an i m crazy  bout my tea at night don  get my sugar three times a day oh lord you don  mean you just can  get along right then i don  feel right
blues.00006.wav,blues,dreamin' blues,john lee hooker,"My baby left me this morning
People just around four o'clock
My baby left me this morning
People just around four o'clock
She left me dreamin' dreamin'
People then I woke up crying

Me and my baby don't get along so well
We don't do a doggone thing but fuss and fight all
Most all the time, she left me to dream
People dream most all the time

Ever since my baby left me
I don't do a doggone thing but dream
Yes my nightmares are killing me now

You know I lay down dreamin'
People God knows that I wake up crying

Yes since my baby's been gone
People I just can't eat a bite
I'm gonna get up in the morning
Going down that lonesome road
I don't find my baby
People I won't be back no more",my baby left me this morning people just around four o clock my baby left me this morning people just around four o clock she left me dreamin  dreamin  people then i woke up crying me and my baby don  get along so well we don  do a doggone thing but fuss and fight all most all the time she left me to dream people dream most all the time ever since my baby left me i don  do a doggone thing but dream yes my nightmares are killing me now you know i lay down dreamin  people god knows that i wake up crying yes since my baby s been gone people i just can  eat a bite i m gonna get up in the morning going down that lonesome road i don  find my baby people i won  be back no more
blues.00007.wav,blues,ground hog blues,john lee hooker,"It's a low-down dog, a dirty Groundhog that rootin' round my in back door
Yes if I catch him there rootin' there [man?], Lord, he won't root there no more

Yes he stand and he watch me, in the morning when I leave home
Yes he stand and he watch me, Lord, in the morning when I leave home
Then when I leave home in the morning, yes, he hangs around all day long

Give me some toads'n' frogs' hips
I'm gonna, gonna, put it all together
I'm gonna, gonna mix it up together
I'm gonna, gonna whup it all up good
I'm gonna, gonna kill that ol' dirty Groundhog

I bet'cha my bottom dollar then man, he, he won't root there no more

[Spoken]
Na he ain't gonna root no more there

I said goodbye baby, Lord, I'm leavin' you now
I said goodbye baby, Lord, I'm leavin' you now
I done did what I want to done, killed that dirty ground hog

[Spoken]
Yes he's through!",it s a lowdown dog a dirty groundhog that rootin  round my in back door yes if i catch him there rootin  there  lord he won  root there no more yes he stand and he watch me in the morning when i leave home yes he stand and he watch me lord in the morning when i leave home then when i leave home in the morning yes he hangs around all day long give me some toads n  frogs  hips i m gonna gonna put it all together i m gonna gonna mix it up together i m gonna gonna whup it all up good i m gonna gonna kill that ol  dirty groundhog i bet cha my bottom dollar then man he he won  root there no more na he ain  gonna root no more there i said goodbye baby lord i m leavin  you now i said goodbye baby lord i m leavin  you now i done did what i want to done killed that dirty ground hog yes he s through
blues.00008.wav,blues,shake it baby,john lee hooker,"Shake it baby
Shake it baby
Shake it baby
For me, for me
C'mon Gal
Shake it right now

W-A-A-A-A-A-A-A-H Yeah!
Shake it baby
Shake it baby
Shake that thing

Me an' you
Me an' you
Nobody else but you
Nobody else but you
Shake it baby
Shake it baby
Shake it baby
One time, one time
For me
Now rock!

Ha-ha-ha
Shake that thing, baby
One time
For your daddy
I love ya
You're cookin' when you jive
Honey, you're workin'
You've got the pots on
And the gas workin' high

One time for me
One time for me
One time for me
Shake baby
Shake it baby
Shake it baby
Shake it baby
Shake that thing
Shake that thing
Shake that thing
Shake that thing
One time, baby
One time
One time
One time
One time
One more time
One more
An' one more
An' one more
One more time
One more time
One more time
One more time
One more time
One more time
Just one more time
And just one more time
Once again
One time
And one more time
And one more time
And one more time
One more time, baby
Shake it baby
One more time
For me
For me
For me
For me
For me
For me",shake it baby shake it baby shake it baby for me for me c mon gal shake it right now waaaaaaah yeah shake it baby shake it baby shake that thing me an  you me an  you nobody else but you nobody else but you shake it baby shake it baby shake it baby one time one time for me now rock hahaha shake that thing baby one time for your daddy i love ya you re cookin  when you jive honey you re workin  you ve got the pots on and the gas workin  high one time for me one time for me one time for me shake baby shake it baby shake it baby shake it baby shake that thing shake that thing shake that thing shake that thing one time baby one time one time one time one time one more time one more an  one more an  one more one more time one more time one more time one more time one more time one more time just one more time and just one more time once again one time and one more time and one more time and one more time one more time baby shake it baby one more time for me for me for me for me for me for me
blues.00010.wav,blues,lonely boy boogie,john lee hooker,"Oh little girl, you look good to me
Hey little girl, you look good to me
I'm just a lonely boy baby, lookin' for someone to love

I went to San Antone, California too
When I got there baby, I feel a lonely boy
I didn't find nobody baby, even talk to me
That's why I'm asking you baby
Please be nice to me
'Cause I'm a lonely boy baby
Looking for someone to love

I walked into a tavern, had myself a seat
Everybody was so gay, having fun but me
When I sat down baby and looked into your face
The first thing I said little girl, you was the one for me
I said ohh, oh baby, I got eyes for you",oh little girl you look good to me hey little girl you look good to me i m just a lonely boy baby lookin  for someone to love i went to san antone california too when i got there baby i feel a lonely boy i didn  find nobody baby even talk to me that s why i m asking you baby please be nice to me  cause i m a lonely boy baby looking for someone to love i walked into a tavern had myself a seat everybody was so gay having fun but me when i sat down baby and looked into your face the first thing i said little girl you was the one for me i said ohh oh baby i got eyes for you
blues.00011.wav,blues,it serves you right to suffer,john lee hooker,"[Verse 1]
It serve you right to suffer
It serve you right to be alone
It serve you right to suffer
It serve you right to be alone
Because you're still livin'
The day done packed and gone

[Verse 2]
Every time you see a woman
She make you think of yours
Every time you see a woman
She make you think of yours
And that's why, that's why, that's why
You can't keep from crying

[Verse 3]
Your doctor put you on
Milk, cream, and alcohol
Your doctor put you on
Milk, cream, and alcohol
He told you that's why
You can't sleep at night
Your nerve is so bad, yeah

[Verse 4]
Every time you see a woman
She make you think of yours
Every time you see a woman
She make you think of yours
She treated you so bad
You just couldn't keep from crying

[Outro]
Your life will never be the same
You're still living in a day done packed and gone
And memories
You can't live on
In that way
In the past
Them days is gone",it serve you right to suffer it serve you right to be alone it serve you right to suffer it serve you right to be alone because you re still livin  the day done packed and gone every time you see a woman she make you think of yours every time you see a woman she make you think of yours and that s why that s why that s why you can  keep from crying your doctor put you on milk cream and alcohol your doctor put you on milk cream and alcohol he told you that s why you can  sleep at night your nerve is so bad yeah every time you see a woman she make you think of yours every time you see a woman she make you think of yours she treated you so bad you just couldn  keep from crying your life will never be the same you re still living in a day done packed and gone and memories you can  live on in that way in the past them days is gone
blues.00012.wav,blues,cross road blues,robert johnson,"[Verse 1]
I went to the crossroad, fell down on my knees
I went to the crossroad, fell down on my knees
Asked the Lord above, ""Have mercy, save poor Bob if you please""

[Verse 2]
Mmmm, standin' at the crossroad, I tried to flag a ride
Standin' at the crossroad, I tried to flag a ride
Didn't nobody seem to know me, everybody pass me by

[Verse 3]
Mmmm, the sun goin' down boy, dark goin' catch me here
Oooo ooee eeee, boy dark goin' catch me here
I haven't got no lovin' sweet woman that love and feel my care

[Verse 4]
You can run, you can run, tell my friend boy Willie Brown
You can run, tell my friend boy Willie Brown
Lord that I'm standing at the crossroad, babe
I believe I'm sinkin' down",i went to the crossroad fell down on my knees i went to the crossroad fell down on my knees asked the lord above have mercy save poor bob if you please mmmm standin  at the crossroad i tried to flag a ride standin  at the crossroad i tried to flag a ride didn  nobody seem to know me everybody pass me by mmmm the sun goin  down boy dark goin  catch me here oooo ooee eeee boy dark goin  catch me here i haven  got no lovin  sweet woman that love and feel my care you can run you can run tell my friend boy willie brown you can run tell my friend boy willie brown lord that i m standing at the crossroad babe i believe i m sinkin  down
blues.00013.wav,blues,terraplane blues,robert johnson,"[Verse 1]
And I feel so lonesome
You hear me when I moan
And I feel so lonesome
You hear me when I moan
Who been drivin' my Terraplane
For you since I been gone?

[Verse 2]
I'd said, ""I'll flash your lights, mama
Your horn won't even blow""
Somebody's been runnin'
My batteries down on this machine
I even flash my lights, mama
This horn won't even blow
Got a short in this connection
Hoo well, babe, it's way down below

[Verse 3]
I'm goin' heist your hood, mama
I'm bound to check your oil
I'm goin' heist your hood, mama
I'm bound to check your oil
I got a woman that I'm lovin'
Way down in Arkansas

[Verse 4]
Now, you know the coils ain't even buzzin'
Little generator won't get the spark
Motor's in a bad condition
You gotta have these batteries charged
But I'm cryin', please, please don't do me wrong
Who been drivin' my Terraplane
Now for you since I been gone

[Verse 5]
Mr. Highway Man, please don't block the road
Please, please don't block the road
Cause she's reachin' a cold one hundred
And I'm booked and I got to go

[Verse 6]
Mmm, mmm mm
Yoo, you hear me weep and moan
Who been drivin' my Terraplane
Now for you since I been gone

[Verse 7]
I'm gon' get down in this connection
Keep on tanglin' with your wires
I'm gon' get down in this connection
Oh well, keep on tanglin' with these wires
And when I mash down on your little starter
Then your spark plug will give me fire",and i feel so lonesome you hear me when i moan and i feel so lonesome you hear me when i moan who been drivin  my terraplane for you since i been gone i d said i ll flash your lights mama your horn won  even blow somebody s been runnin  my batteries down on this machine i even flash my lights mama this horn won  even blow got a short in this connection hoo well babe it s way down below i m goin  heist your hood mama i m bound to check your oil i m goin  heist your hood mama i m bound to check your oil i got a woman that i m lovin  way down in arkansas now you know the coils ain  even buzzin  little generator won  get the spark motor s in a bad condition you gotta have these batteries charged but i m cryin  please please don  do me wrong who been drivin  my terraplane now for you since i been gone mr highway man please don  block the road please please don  block the road cause she s reachin  a cold one hundred and i m booked and i got to go mmm mmm mm yoo you hear me weep and moan who been drivin  my terraplane now for you since i been gone i m gon  get down in this connection keep on tanglin  with your wires i m gon  get down in this connection oh well keep on tanglin  with these wires and when i mash down on your little starter then your spark plug will give me fire
blues.00015.wav,blues,walkin' blues,robert johnson,"[Verse 1]
I woke up this morning, feeling round for my shoes
Know 'bout 'at I got these, old walking blues
Woke up this morning, feeling round for my shoes
But you know 'bout 'at I, got these old walking blues

[Verse 2]
Lord, I feel like blowing my old lonesome horn
Got up this morning, my little Bernice was gone
Lord, I feel like blowing my lonesome horn
Well I got up this morning all I had was gone

[Verse 3]
Well leave this morn' if I have to ride the blind
I've feel mistreated and I don't mind dying
Leaving this morn', I have to ride a blind
Babe, I been mistreated, baby, and I don't mind dying

[Verse 4]
Well, some people tell me that the worried blues ain't bad
Worst old feeling I most ever had, some
People tell me that these old worried old blues ain't bad
It's the worst old feeling, I 'most ever had

[Verse 5]
She got an Elgin movement from her head down to her toes
Break in on a dollar most anywhere she goes
My head down to her toes, oh how nice
Lord she break in on a dollar most anywhere she goes",i woke up this morning feeling round for my shoes know  bout  at i got these old walking blues woke up this morning feeling round for my shoes but you know  bout  at i got these old walking blues lord i feel like blowing my old lonesome horn got up this morning my little bernice was gone lord i feel like blowing my lonesome horn well i got up this morning all i had was gone well leave this morn  if i have to ride the blind i ve feel mistreated and i don  mind dying leaving this morn  i have to ride a blind babe i been mistreated baby and i don  mind dying well some people tell me that the worried blues ain  bad worst old feeling i most ever had some people tell me that these old worried old blues ain  bad it s the worst old feeling i  most ever had she got an elgin movement from her head down to her toes break in on a dollar most anywhere she goes my head down to her toes oh how nice lord she break in on a dollar most anywhere she goes
