,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_rand_score,nmi,cluster_purity
Beta-VAE (beta=4.0) + K-Means,0.14830057322978973,94.74968458581246,0.9454488754848647,0.06791849747788874,0.21322107527452994,0.36885245901639346
Beta-VAE (beta=4.0) + Agglomerative,0.10915765911340714,88.07148616924715,1.1943856185332824,0.041489789288642706,0.21771667125414026,0.319672131147541
Beta-VAE (beta=10.0) + K-Means,0.08800151199102402,4.527311132334857,2.0999781920762524,0.016527497102176245,0.1691986271604273,0.2786885245901639
CVAE + K-Means,0.05280479043722153,7.397388392032148,1.9028082168263558,0.017079298233544593,0.17102826569892426,0.30327868852459017
Beta-VAE (beta=10.0) + Agglomerative,0.049763474613428116,5.067977232313679,2.4015728878358344,0.004284843486679336,0.15226810423303752,0.2786885245901639
Beta-VAE (beta=1.0) + K-Means,0.04695853218436241,7.948533039661213,2.0074853847944243,0.0719150976725398,0.22352373230993292,0.3770491803278688
Beta-VAE (beta=1.0) + Agglomerative,0.04060380905866623,8.336555589259907,1.8422545365358332,0.04777636205520382,0.19835989530478845,0.32786885245901637
CVAE + Agglomerative,0.03749274089932442,7.55190027138497,2.0696920987548055,0.017386642781944454,0.17172645831589764,0.30327868852459017
Direct K-Means,0.021981411058441844,2.7224776097886934,2.2113413556162502,0.013566231351702603,0.16926652179230114,0.2540983606557377
Autoencoder + K-Means,0.020483270287513733,5.436095889191197,1.9793285734257573,0.061587009541446976,0.2217052136961637,0.36885245901639346
PCA + K-Means,0.008094686593277807,4.813744331281565,2.2754972024511444,0.06699415368845583,0.22957908606802083,0.3524590163934426
